seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
0,4,2196,2022-06-08,51065,0.009794082,0.009788045659661293,0.86,3.92567244489328e-06,0.009781968779861927,0.00979521218687296
0,4,2201,2022-06-08,51087,0.011986181,0.011981025338172913,0.755,4.877841092820745e-06,0.011974656954407692,0.011991563253104687
0,4,2203,2022-06-08,51113,0.0022069577,0.0021944958716630936,0.6,3.1178198696579784e-05,0.00216042622923851,0.002258629072457552
0,4,2210,2022-06-08,51159,0.0027117282,0.0027044543530792,0.86,3.7796758078911807e-06,0.0027023686561733484,0.002713182708248496
0,4,2211,2022-06-08,51177,0.001941349,0.001913583604618907,0.9,1.5977218936313875e-05,0.0018921616720035672,0.0019431867403909564
0,4,2216,2022-06-08,54027,0.0024667971,0.0023211436346173286,0.74,0.00011814454774139449,0.0021964951884001493,0.002565763657912612
0,4,2220,2022-06-08,54041,0.0023648771,0.00237527908757329,0.425,4.720103970612399e-05,0.0023164062295109034,0.00246527511626482
0,4,2221,2022-06-08,54049,0.0029993437,0.0029950356110930443,0.57,1.866778256953694e-05,0.002979542827233672,0.0030376941431313753
0,4,2233,2022-06-08,55025,0.0074972017,0.007481046952307224,0.935,1.1545338566065766e-05,0.007463371846824884,0.007502131629735231
0,4,2243,2024-02-27,01095,0.0013954483,0.0014487745938822627,0.245,0.00017080939142033458,0.0013098669005557895,0.0018812185153365135
0,4,2252,2024-02-27,06027,0.025515502,0.02424132078886032,0.78,0.0015901437727734447,0.021626463159918785,0.026160817593336105
0,4,2258,2024-02-27,06045,0.0062866854,0.005689640063792467,0.575,0.0022125965915620327,0.005204141139984131,0.011474564671516418
0,4,2261,2024-02-27,06061,0.017078403,0.017874348908662796,0.385,0.003433743491768837,0.016022484749555588,0.025120031088590622
0,4,2275,2024-02-27,08029,0.012648281,0.012641641311347485,0.61,2.3661816157982685e-05,0.012596393935382366,0.012692473828792572
0,4,2276,2024-02-27,08043,0.0009724711,0.0009707707213237882,0.51,3.381665737833828e-05,0.000938313954975456,0.0010422583436593413
0,4,2291,2024-02-27,13057,0.0024279316,0.0025037825107574463,0.225,5.397373024607077e-05,0.0023912296164780855,0.002563424641266465
0,4,2292,2024-02-27,13067,0.0014101244,0.001406693016178906,0.595,2.4375123757636175e-05,0.0013839243911206722,0.0014791080029681325
0,4,2295,2024-02-27,13089,0.0011605317,0.001203591818921268,0.035,0.00010637837112881243,0.0011561830760911107,0.001491525792516768
0,4,2296,2024-02-27,13113,0.0030989584,0.0032195220701396465,0.2,7.522035593865439e-05,0.0030512912198901176,0.0032820526976138353
0,4,2305,2024-02-27,13223,0.0016384907,0.0013640373945236206,0.775,0.00021798476518597454,0.0011799702188000083,0.0018718764185905457
0,4,2316,2024-02-27,16061,0.005042387,0.005101566202938557,0.205,0.00012425890599843115,0.005026135127991438,0.005376378074288368
